accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive,threshold
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7382135227425288,0.8338696672202058,0,9861,0,13462,0.2
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7382135227425288,0.8338696672202058,0,9861,0,13462,0.21000000000000002
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7382135227425288,0.8338696672202058,0,9861,0,13462,0.22000000000000003
0.5771984736097414,0.5771984736097414,1.0,0.7319287753160255,0.7382135227425288,0.8338696672202058,0,9861,0,13462,0.23000000000000004
0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7382135227425288,0.8338696672202058,1,9860,0,13462,0.24000000000000005
0.5771127213480256,0.5771688322826879,0.9997771504976972,0.73184524618689,0.7382135227425288,0.8338696672202058,1,9860,3,13459,0.25000000000000006
0.5770269690863097,0.577172280626475,0.9991828851582232,0.7316887426224603,0.7382135227425288,0.8338696672202058,7,9854,11,13451,0.26000000000000006
0.5772842258714573,0.5773674039080954,0.9986629029861833,0.7317059896045935,0.7382135227425288,0.8338696672202058,20,9841,18,13444,0.2700000000000001
0.5774986065257471,0.5776582006026689,0.9968058238003269,0.7314400959337185,0.7382135227425288,0.8338696672202058,50,9811,43,13419,0.2800000000000001
0.5790421472366334,0.5788676305081811,0.9933887980983509,0.7314845202931846,0.7382135227425288,0.8338696672202058,132,9729,89,13373,0.2900000000000001
0.5825151138361274,0.5813780748896754,0.9884118258802556,0.732124680183774,0.7382135227425288,0.8338696672202058,280,9581,156,13306,0.3000000000000001
0.585516442996184,0.5843220903879482,0.9767493685930768,0.731210899485611,0.7382135227425288,0.8338696672202058,507,9354,313,13149,0.3100000000000001
0.5917763581014449,0.5898663747890728,0.9607784875947111,0.7309615982367402,0.7382135227425288,0.8338696672202058,868,8993,528,12934,0.3200000000000001
0.5982077777301377,0.5970489158798691,0.9347793789927202,0.7286835171834738,0.7382135227425288,0.8338696672202058,1368,8493,878,12584,0.3300000000000001
0.6059683574154269,0.6068106810681068,0.9014262368147378,0.7253436939629408,0.7382135227425288,0.8338696672202058,1998,7863,1327,12135,0.34000000000000014
0.6179307979247952,0.622161378643904,0.8608676273956322,0.7223035931316028,0.7382135227425288,0.8338696672202058,2823,7038,1873,11589,0.35000000000000014
0.6280066886764138,0.6396475256769374,0.8142177982469172,0.7164520556899143,0.7382135227425288,0.8338696672202058,3686,6175,2501,10961,0.36000000000000015
0.6390258543069074,0.6613966587723229,0.7675679690982024,0.7105380780471033,0.7382135227425288,0.8338696672202058,4571,5290,3129,10333,0.37000000000000016
0.648973116665952,0.68598829419646,0.7226266528004754,0.7038309879535506,0.7382135227425288,0.8338696672202058,5408,4453,3734,9728,0.38000000000000017
0.6593920164644342,0.7144745024875622,0.6827365918882781,0.6982450809086075,0.7382135227425288,0.8338696672202058,6188,3673,4271,9191,0.3900000000000002
0.6694250310851949,0.7427823737970622,0.6536175902540484,0.6953532479848269,0.7382135227425288,0.8338696672202058,6814,3047,4663,8799,0.4000000000000002
0.6766282210693307,0.7695319613913677,0.6277670479869262,0.6914580265095729,0.7382135227425288,0.8338696672202058,7330,2531,5011,8451,0.4100000000000002
0.6821163658191485,0.7917229403820182,0.6096419551329668,0.688853449723015,0.7382135227425288,0.8338696672202058,7702,2159,5255,8207,0.4200000000000002
0.68606096985808,0.8100383760856392,0.5958252859901946,0.6866118815271358,0.7382135227425288,0.8338696672202058,7980,1881,5441,8021,0.4300000000000002
0.6890194228872787,0.8233517341943547,0.5872084385678206,0.6855135932012314,0.7382135227425288,0.8338696672202058,8165,1696,5557,7905,0.4400000000000002
0.6915491146078978,0.8345431255337319,0.58074580300104,0.6848883048620237,0.7382135227425288,0.8338696672202058,8311,1550,5644,7818,0.45000000000000023
0.6923637610941988,0.8431393952625259,0.5737631852622196,0.6828448923661761,0.7382135227425288,0.8338696672202058,8424,1437,5738,7724,0.46000000000000024
0.6929211507953522,0.85,0.5682662308720844,0.6811503873208085,0.7382135227425288,0.8338696672202058,8511,1350,5812,7650,0.47000000000000025
0.6924066372250568,0.8544532130777903,0.562992125984252,0.6787569407128784,0.7382135227425288,0.8338696672202058,8570,1291,5883,7579,0.48000000000000026
0.6927067701410625,0.8600846585058918,0.5584608527707622,0.677205783002297,0.7382135227425288,0.8338696672202058,8638,1223,5944,7518,0.49000000000000027
0.6928353985336363,0.8654828226555246,0.5539295795572723,0.6755140864208714,0.7382135227425288,0.8338696672202058,8702,1159,6005,7457,0.5000000000000002
0.6928782746644943,0.8703115814226925,0.5498440053483881,0.673919970865389,0.7382135227425288,0.8338696672202058,8758,1103,6060,7402,0.5100000000000002
0.6914204862153239,0.8728722771098679,0.5447184667954241,0.6708137035173581,0.7382135227425288,0.8338696672202058,8793,1068,6129,7333,0.5200000000000002
0.69129185782275,0.8755998080614203,0.5421928391026594,0.6696944673823286,0.7382135227425288,0.8338696672202058,8824,1037,6163,7299,0.5300000000000002
0.69129185782275,0.8777750965250966,0.5404100430842371,0.6689655172413793,0.7382135227425288,0.8338696672202058,8848,1013,6187,7275,0.5400000000000003
0.6909917249067444,0.8788612961841308,0.538924379735552,0.6681401666896901,0.7382135227425288,0.8338696672202058,8861,1000,6207,7255,0.5500000000000003
0.6908202203833126,0.879446400388491,0.538107264893775,0.6676805382736531,0.7382135227425288,0.8338696672202058,8868,993,6218,7244,0.5600000000000003
0.6910346010376024,0.8803501945525292,0.5378101322240381,0.667711887853915,0.7382135227425288,0.8338696672202058,8877,984,6222,7240,0.5700000000000003
0.6907773442524546,0.8805406721870433,0.5371415837171297,0.6672510842484082,0.7382135227425288,0.8338696672202058,8880,981,6231,7231,0.5800000000000003
0.6907344681215967,0.8809901231557127,0.5366958847125242,0.6670359599316807,0.7382135227425288,0.8338696672202058,8885,976,6237,7225,0.5900000000000003
0.6908202203833126,0.8812980358667806,0.5366216015450899,0.6670668082552288,0.7382135227425288,0.8338696672202058,8888,973,6238,7224,0.6000000000000003
0.6907344681215967,0.8813621384108385,0.5363987520427871,0.6669129531286078,0.7382135227425288,0.8338696672202058,8889,972,6241,7221,0.6100000000000003
0.6905629635981649,0.8814905314599878,0.5359530530381815,0.6666050722963921,0.7382135227425288,0.8338696672202058,8891,970,6247,7215,0.6200000000000003
0.6903057068130172,0.8820575627679118,0.5349873718615362,0.6660193276922366,0.7382135227425288,0.8338696672202058,8898,963,6260,7202,0.6300000000000003
0.6897911932427218,0.8821652141892721,0.5338731243500223,0.6651858022120413,0.7382135227425288,0.8338696672202058,8901,960,6275,7187,0.6400000000000003
0.6888907944947048,0.8829918538632436,0.5314217798246917,0.6635132628454832,0.7382135227425288,0.8338696672202058,8913,948,6308,7154,0.6500000000000004
0.6876902628306821,0.8843952215032355,0.5279304709552816,0.6611777839799051,0.7382135227425288,0.8338696672202058,8932,929,6355,7107,0.6600000000000004
0.6841315439694722,0.8847367756596389,0.5205764373792898,0.6554739746527616,0.7382135227425288,0.8338696672202058,8948,913,6454,7008,0.6700000000000004
0.6804441967156883,0.8860336631119106,0.5122567226266528,0.6491880442457049,0.7382135227425288,0.8338696672202058,8974,887,6566,6896,0.6800000000000004
0.6743986622647172,0.8874801901743264,0.4991828851582231,0.6389654844537416,0.7382135227425288,0.8338696672202058,9009,852,6742,6720,0.6900000000000004
0.6677099858508768,0.890057361376673,0.4841034021690685,0.62711701308699,0.7382135227425288,0.8338696672202058,9056,805,6945,6517,0.7000000000000004
0.6586202461089912,0.8955696202531646,0.462487000445699,0.6099735475653963,0.7382135227425288,0.8338696672202058,9135,726,7236,6226,0.7100000000000004
0.6476439566093556,0.9027649769585253,0.4365621750111425,0.5885239335069097,0.7382135227425288,0.8338696672202058,9228,633,7585,5877,0.7200000000000004
0.636624790978862,0.915375645510578,0.4081860050512554,0.5646031338299512,0.7382135227425288,0.8338696672202058,9353,508,7967,5495,0.7300000000000004
0.6240620846374824,0.9303263659699303,0.3769127915614322,0.5364770564601395,0.7382135227425288,0.8338696672202058,9481,380,8388,5074,0.7400000000000004
0.6127427860909832,0.9435322386864237,0.3500222849502303,0.5106198526224534,0.7382135227425288,0.8338696672202058,9579,282,8750,4712,0.7500000000000004
0.6000085752261716,0.9566850828729282,0.32157183182290894,0.48134763996219493,0.7382135227425288,0.8338696672202058,9665,196,9133,4329,0.7600000000000005
0.5910474638768598,0.9718614718614719,0.30017827960184224,0.458683314415437,0.7382135227425288,0.8338696672202058,9744,117,9421,4041,0.7700000000000005
0.5858594520430477,0.9839653855942988,0.2871787253008468,0.44459778046115805,0.7382135227425288,0.8338696672202058,9798,63,9596,3866,0.7800000000000005
0.5816147150881105,0.9915074309978769,0.2775219135343931,0.43366221706326175,0.7382135227425288,0.8338696672202058,9829,32,9726,3736,0.7900000000000005
0.5789563949749175,0.9956450734893849,0.2717278264745209,0.426937441643324,0.7382135227425288,0.8338696672202058,9845,16,9804,3658,0.8000000000000005
0.5777129871800368,0.9980700303280948,0.26890506611201903,0.42366434548539994,0.7382135227425288,0.8338696672202058,9854,7,9842,3620,0.8100000000000005
