feature,importance
shipping_mode_Standard Class,0.4293990262156051
shipping_mode_First Class,0.29764228944101223
shipping_mode_Second Class,0.1347185249088453
shipping_mode_Same Day,0.018963150296680036
order_profit_per_order,0.0055067725054014785
profit_per_order,0.0054095252036116806
longitude,0.0053726599495060355
latitude,0.005125997890629645
sales_per_customer,0.00490913341586552
order_item_profit_ratio,0.004623917133400191
order_item_total_amount,0.004552293962352997
order_city_frequency,0.004545980419658892
order_state_frequency,0.004243943331550967
order_week,0.004213126198193284
order_item_discount,0.004168272996847342
order_day,0.0037499056480514398
order_hour,0.0036441846260632463
customer_city_frequency,0.0033408379671235407
order_item_discount_rate,0.003259576808354598
sales,0.002704716419728912
order_month,0.002610863902343433
order_item_product_price,0.0024013295827335795
product_price,0.0022960473195459893
order_weekday,0.002294114183786481
order_quarter,0.001447217654691162
order_item_quantity,0.0012080376734322448
order_year,0.0010570334713908723
payment_type_PAYMENT,0.000865947747503919
customer_segment_Consumer,0.0007991661046817455
payment_type_DEBIT,0.0007390803250797342
customer_segment_Corporate,0.000680838348129614
order_is_weekend,0.0006551382030730089
payment_type_TRANSFER,0.0005855652023783269
customer_segment_Home Office,0.0005617484226217999
customer_state_PR,0.0005309322821279043
customer_state_CA,0.00047200229155383344
market_LATAM,0.0004528112554471019
customer_country_Puerto Rico,0.0004361746984937068
payment_type_CASH,0.00043381333699615333
market_Europe,0.0004313778805384913
customer_country_EE. UU.,0.0004139200775277803
department_name_Apparel,0.0003905585150559201
department_name_Fan Shop,0.0003808691276409637
market_Pacific Asia,0.0003789117151910051
order_region_Western Europe,0.0003516752004097989
market_USCA,0.00035129555523298633
order_region_Central America,0.000351033297288495
product_name_Diamondback Women's Serene Classic Comfort Bi,0.00033778937756113667
product_name_Perfect Fitness Perfect Rip Deck,0.0003367526758434455
customer_state_TX,0.00031408838651667144
category_name_Cleats,0.0003046996338116899
product_name_Field & Stream Sportsman 16 Gun Fire Safe,0.0002929604957324683
order_region_South America,0.0002910510765789058
department_name_Golf,0.0002879717513938038
product_name_Nike Men's CJ Elite 2 TD Football Cleat,0.0002846771535305631
category_name_Men's Footwear,0.0002845976929903645
department_name_Outdoors,0.0002757951144315718
category_name_Indoor/Outdoor Games,0.00027509064188508173
order_country_France,0.00027183905400071656
product_name_Nike Men's Free 5.0+ Running Shoe,0.0002682989643033375
department_name_Footwear,0.00026391136730752763
category_name_Fishing,0.0002638364162706584
order_country_United States,0.0002620744739732596
product_name_Under Armour Girls' Toddler Spine Surge Runni,0.000259653306898437
order_region_Eastern Asia,0.0002592517716621257
order_region_Northern Europe,0.00025409239134153007
order_country_Mexico,0.0002500480679260485
order_country_Brazil,0.00024871191682059295
product_name_Pelican Sunstream 100 Kayak,0.0002476941956215613
customer_state_NY,0.00024765453028370923
product_name_O'Brien Men's Neoprene Life Vest,0.00024245283445705246
order_country_Germany,0.0002366908755478515
product_name_Nike Men's Dri-FIT Victory Golf Polo,0.00023215879093845226
order_region_South Asia,0.00022982502542206692
order_region_Southeast Asia,0.00022812176816195233
category_name_Cardio Equipment,0.00022567324430561599
category_name_Women's Apparel,0.00022526880162913152
order_region_West of USA,0.00022525966529811023
category_name_Water Sports,0.00022462410479880433
category_name_Camping & Hiking,0.00022074389765677392
order_country_Nicaragua,0.00020696294214339096
order_region_South of  USA,0.0002063610918704875
market_Africa,0.00020293440855328858
order_region_East of USA,0.0002004967353187356
customer_state_IL,0.00019880890083205606
customer_state_OH,0.0001965635268321181
category_name_Shop By Sport,0.00019396344484973605
customer_state_SC,0.00019231296296751447
order_region_Oceania,0.00019155824404844485
order_region_West Asia,0.00019047887322039573
customer_state_FL,0.00018908887913471312
order_country_Dominican Republic,0.00018828642183210773
order_country_India,0.00018694893960648023
order_country_Honduras,0.00018622720678037726
order_region_Southern Europe,0.00018547418420863826
order_country_Turkey,0.00018164603084646884
customer_state_NC,0.00017932720856949171
order_region_Caribbean,0.0001758826675665044
order_country_China,0.00017437033817922703
order_country_Australia,0.00017421901044434773
order_region_West Africa,0.00017036042020046895
order_country_El Salvador,0.00016533334317723143
order_country_Italy,0.00016114468269080347
order_region_US Center,0.0001593468876167673
order_country_Spain,0.0001560731842185476
customer_state_NJ,0.00015425397877596973
order_country_United Kingdom,0.00014688112034029772
customer_state_MA,0.00014468501366691938
customer_state_CO,0.00014345090665521699
order_country_Indonesia,0.000141453818622338
customer_state_MI,0.00014005688440907668
order_country_Iran,0.0001384321204000755
order_region_Eastern Europe,0.00013831971650389742
customer_state_GA,0.0001378659185807312
order_country_Ireland,0.00013585792587027874
customer_state_MD,0.0001325230245099806
category_name_Electronics,0.00013205179300479814
category_name_Lacrosse,0.00013149043477517233
customer_state_MO,0.0001307499037159741
customer_state_VA,0.00012955326769479038
order_country_Cuba,0.0001292034591368508
order_country_Austria,0.00012850005644429347
customer_state_WA,0.00012643542299273745
customer_state_NV,0.00012498589731753599
customer_state_HI,0.00012414949419976254
customer_state_PA,0.00012218638866829903
department_name_Fitness,0.00011809528826761892
order_country_Poland,0.00011542386068361857
customer_state_OR,0.00011244536965449592
order_country_Guatemala,0.00011236735339274821
order_region_North Africa,0.00011208324981839883
order_country_Panama,0.00011132112680573757
order_country_Egypt,0.00011110976047093949
order_country_Argentina,0.00010838057061394626
order_country_Colombia,0.0001070799380730765
product_name_Glove It Women's Mod Oval Golf Glove,0.00010411228042110662
department_name_Technology,0.0001034203513573594
order_country_Nigeria,0.0001023347250879942
customer_state_AZ,0.00010095716111974626
category_name_CDs,9.61623269633836e-05
order_country_Venezuela,9.594357013850254e-05
customer_state_UT,9.580695453507321e-05
order_country_Democratic Republic of the Congo,9.467886917057646e-05
order_region_East Africa,9.373836357470022e-05
category_name_Women's Clothing,9.184718642050389e-05
order_region_Canada,9.080228721350126e-05
order_country_Sweden,8.796280577924987e-05
order_country_Belgium,8.719128133419606e-05
product_name_Under Armour Men's Tech II T-Shirt,8.658166931853268e-05
order_country_Bolivia,8.567359083211985e-05
product_name_Glove It Urban Brick Golf Towel,8.441439015635465e-05
order_country_New Zealand,8.410091434597415e-05
order_region_Central Africa,8.344195443964136e-05
customer_state_TN,8.241084096106042e-05
order_country_South Africa,8.21336418478077e-05
order_country_Morocco,8.193065851573765e-05
customer_state_IN,7.487310276592373e-05
category_name_Golf Balls,7.42476683948649e-05
order_country_Netherlands,7.39492194507347e-05
order_region_Southern Africa,7.318663848376263e-05
category_name_Video Games,7.31552518377363e-05
order_country_Angola,7.267427896465338e-05
order_country_Ukraine,7.110327207071386e-05
category_name_Baseball & Softball,7.05278548537465e-05
product_name_Men's gala suit,6.998823497558112e-05
order_country_Russia,6.96823168587794e-05
