feature,correlation
profit_per_order,-0.009305740154898871
order_profit_per_order,-0.0075123246890261355
order_hour,0.006138507170914879
order_year,0.00418012499220463
order_item_profit_ratio,-0.003950853696258981
order_day,-0.003861371937069921
order_item_discount,-0.0037235255412165972
sales,-0.00341538559699665
sales_per_customer,-0.003152175992811129
order_item_total_amount,-0.003081993341583166
order_city_frequency,-0.002693058539033079
order_week,-0.0026693034401511257
product_price,-0.002575604941179458
order_item_product_price,-0.002575604941179458
order_month,-0.0023405300469179647
order_weekday,0.002310795639735895
order_state_frequency,0.0020660574556916533
order_quarter,-0.0014103683121790556
longitude,-0.0013581053384450396
customer_city_frequency,0.0010802004789336932
order_is_weekend,-0.0006080734653543517
latitude,-0.0004102741054565441
order_item_discount_rate,0.00024409533474059516
order_item_quantity,0.00013287438453771805
