feature,importance
order_country_Myanmar (Burma),0.0012760562
product_name_Nike Men's CJ Elite 2 TD Football Cleat,0.0012741844
order_hour,0.0012642484
product_name_Team Golf Pittsburgh Steelers Putter Grip,0.001264246
product_name_Glove It Women's Imperial Golf Glove,0.0012639851
payment_type_TRANSFER,0.0012626541
category_name_Kids' Golf Clubs,0.0012618187
order_country_Japan,0.0012561486
market_Europe,0.0012534864
department_name_Apparel,0.0012533925
customer_state_FL,0.0012528221
order_country_Portugal,0.0012521418
customer_state_ND,0.0012487082
product_name_Clicgear Rovic Cooler Bag,0.0012482312
category_name_Fitness Accessories,0.0012467043
category_name_Women's Apparel,0.0012453934
product_name_DVDs,0.0012448829
order_region_Canada,0.0012448708
order_country_Lithuania,0.00124408
category_name_Accessories,0.0012435883
category_name_Cleats,0.0012399851
order_item_discount_rate,0.0012364842
order_country_Mozambique,0.0012327883
product_name_adidas Men's Germany Black Crest Away Tee,0.0012291959
order_country_Mongolia,0.0012288493
category_name_Music,0.0012279624
product_name_Hirzl Men's Hybrid Golf Glove,0.0012269045
order_country_Canada,0.0012217074
customer_segment_Corporate,0.0012213143
product_name_Baby sweater,0.0012205922
market_LATAM,0.0012186659
customer_state_IA,0.0012174727
category_name_Consumer Electronics,0.0012130133
order_item_product_price,0.0012125965
product_name_Under Armour Hustle Storm Medium Duffle Bag,0.0012078305
product_name_LIJA Women's Eyelet Sleeveless Golf Polo,0.0012065194
product_name_GolfBuddy VT3 GPS Watch,0.0012048809
order_country_Madagascar,0.0012036928
category_name_Video Games,0.0012000558
product_name_adidas Youth Germany Black/Red Away Match Soc,0.0011975052
product_name_Merrell Men's All Out Flash Trail Running Sho,0.0011970343
category_name_Cardio Equipment,0.0011950239
customer_state_UT,0.0011934929
department_name_Golf,0.0011933845
product_name_Bridgestone e6 Straight Distance NFL San Dieg,0.0011929196
product_name_Team Golf New England Patriots Putter Grip,0.0011887038
order_weekday,0.0011871256
product_price,0.0011870404
order_year,0.0011856658
order_month,0.0011840904
product_name_Industrial consumer electronics,0.0011840168
customer_state_MT,0.0011806097
order_country_Singapore,0.0011771901
category_name_Men's Clothing,0.0011759915
order_country_Zambia,0.0011753137
order_item_quantity,0.0011750022
product_name_Under Armour Kids' Mercenary Slide,0.0011739575
order_country_Martinica,0.0011723809
product_name_Clicgear 8.0 Shoe Brush,0.0011694747
order_country_Russia,0.0011686326
order_country_Haiti,0.001165614
order_country_Colombia,0.001165283
category_name_Golf Apparel,0.0011646674
