accuracy,precision,recall,f1,roc_auc,average_precision,balanced_accuracy,specificity,true_negative,false_positive,false_negative,true_positive,false_positive_rate,false_negative_rate,threshold
0.5772413497405994,0.5772364696800755,0.9998514336651315,0.7319195214790647,0.7390639448578895,0.8342811689796428,0.5000778312225871,0.000304228780042592,3,9858,2,13460,0.9996957712199575,0.0001485663348685188,0.2
0.5771555974788835,0.5772002058672157,0.9997028673302629,0.7318505628364783,0.7390639448578895,0.8342811689796428,0.5000035480551528,0.000304228780042592,3,9858,4,13458,0.9996957712199575,0.0002971326697370376,0.21000000000000002
0.5771984736097414,0.577244841048522,0.9994800178279601,0.7318267112670311,0.7390639448578895,0.8342811689796428,0.5000949424906964,0.0007098671534327148,7,9854,7,13455,0.9992901328465673,0.0005199821720398158,0.22000000000000003
0.5772842258714573,0.5773142783571521,0.9992571683256574,0.7318227565759051,0.7390639448578895,0.8342811689796428,0.5002370417229138,0.001216915120170368,12,9849,10,13452,0.9987830848798296,0.0007428316743425939,0.23000000000000004
0.5772842258714573,0.5773674039080954,0.9986629029861833,0.7317059896045935,0.7390639448578895,0.8342811689796428,0.500345547426567,0.0020281918669506137,20,9841,18,13444,0.9979718081330494,0.0013370970138166691,0.24000000000000005
0.5773271020023153,0.5774454186006532,0.9980686376467093,0.7316090389327525,0.7390639448578895,0.8342811689796428,0.5005047579268939,0.0029408782070783897,29,9832,26,13436,0.9970591217929217,0.0019313623532907444,0.25000000000000006
0.5780988723577585,0.5779528236914601,0.9974000891398009,0.7318362675096746,0.7390639448578895,0.8342811689796428,0.5015395131836313,0.005678937227461718,56,9805,35,13427,0.9943210627725383,0.002599910860199079,0.26000000000000006
0.5788277665823436,0.5784639268618742,0.9964344079631555,0.7319854847071021,0.7390639448578895,0.8342811689796428,0.5025778164955216,0.008721225027887637,86,9775,48,13414,0.9912787749721124,0.003565592036844451,0.2700000000000001
0.579299404021781,0.578929158377303,0.9943544792749963,0.7317953203586267,0.7390639448578895,0.8342811689796428,0.5035153392217189,0.012676199168441335,125,9736,76,13386,0.9873238008315587,0.005645520725003714,0.2800000000000001
0.5798139175920765,0.5795188048293234,0.9912345862427574,0.7314185485639114,0.7390639448578895,0.8342811689796428,0.5046934517259827,0.018152317209207992,179,9682,118,13344,0.981847682790792,0.008765413757242609,0.2900000000000001
