feature,importance
shipping_mode_Standard Class,0.15728857900376456
shipping_mode_First Class,0.12086204350233118
shipping_mode_Second Class,0.045770772729336676
latitude,0.03066408345343295
profit_per_order,0.03034430018509965
order_profit_per_order,0.02972235744171139
longitude,0.02921336451064555
sales_per_customer,0.028205984454174864
order_city_frequency,0.027830195745446453
order_item_profit_ratio,0.026283666755103068
order_state_frequency,0.02610142166441811
order_item_total_amount,0.025053507171911845
order_item_discount,0.02493652908335902
order_day,0.02483833740145336
order_week,0.024302173919389464
order_hour,0.023597907378740395
order_item_discount_rate,0.020407786893882916
customer_city_frequency,0.01976497571639867
order_month,0.016510809375950286
order_weekday,0.01593045741097651
sales,0.013418643182993103
shipping_mode_Same Day,0.010429711972184457
product_price,0.009711507587712512
order_item_product_price,0.009621448181766221
order_quarter,0.008532635873489982
order_year,0.008493136078962038
order_item_quantity,0.00733254371039431
customer_segment_Consumer,0.0055018721377247315
payment_type_DEBIT,0.005036262495203059
customer_segment_Corporate,0.0050270988978980335
order_is_weekend,0.004466134000452607
payment_type_TRANSFER,0.0044318897098517135
customer_segment_Home Office,0.003920579256057164
payment_type_PAYMENT,0.003914669243920873
market_Europe,0.0036343063173641375
market_LATAM,0.003546249863043064
market_Pacific Asia,0.003304598331641541
customer_state_CA,0.003246060212886963
payment_type_CASH,0.0028932105149297766
order_region_Western Europe,0.0028570744095869943
department_name_Fan Shop,0.0027861920657834315
customer_state_PR,0.0026091888465178538
customer_country_Puerto Rico,0.002607208524647798
customer_country_EE. UU.,0.002605239915225255
department_name_Apparel,0.0025276350984233956
market_USCA,0.0024733586274809857
order_region_Central America,0.0024725470335627445
order_country_United States,0.0023997588100311412
order_region_South America,0.0021225642841433087
department_name_Golf,0.0021149617046934657
order_country_France,0.002056159794561813
category_name_Cleats,0.0019241859692038705
product_name_Perfect Fitness Perfect Rip Deck,0.0019078781238975014
customer_state_NY,0.0017924983590436546
order_country_Mexico,0.0017148920423216596
product_name_O'Brien Men's Neoprene Life Vest,0.0017035296402352004
product_name_Nike Men's Dri-FIT Victory Golf Polo,0.001692918019207541
category_name_Women's Apparel,0.0016890803797973892
category_name_Indoor/Outdoor Games,0.0016747155915037277
market_Africa,0.001629033713165383
order_country_Germany,0.0015742257640084484
order_region_Southern Europe,0.0015316647813787437
department_name_Footwear,0.0014965798400633319
order_region_Northern Europe,0.0014528632775377343
order_country_Brazil,0.0014406366310463113
customer_state_TX,0.0014228523392573785
order_region_South Asia,0.0014164941371414713
product_name_Nike Men's CJ Elite 2 TD Football Cleat,0.0013933988202336565
order_region_Oceania,0.0013855627397073962
category_name_Men's Footwear,0.0013775959853552808
order_region_Southeast Asia,0.0013501921251990521
order_region_West of USA,0.001304850593034623
order_region_Eastern Asia,0.0012856175416837803
customer_state_IL,0.0012711800101577457
category_name_Cardio Equipment,0.0012681890115888994
product_name_Pelican Sunstream 100 Kayak,0.001232934288179974
order_region_Caribbean,0.0012300369898716789
order_region_East of USA,0.001227131674575651
department_name_Outdoors,0.0012110142372947915
category_name_Water Sports,0.0011982799365537068
product_name_Nike Men's Free 5.0+ Running Shoe,0.001195292918905731
order_country_Australia,0.0011874900877570926
customer_state_FL,0.0011457988925917735
order_country_Italy,0.0011195389967508435
order_country_United Kingdom,0.001116736385892152
order_region_US Center,0.0011109047937552683
order_country_China,0.0011035738296607906
category_name_Camping & Hiking,0.001086081437014408
order_country_India,0.0010743896877631663
order_region_West Asia,0.0010715584565738937
product_name_Diamondback Women's Serene Classic Comfort Bi,0.001070263929725452
product_name_Under Armour Girls' Toddler Spine Surge Runni,0.0010629755086862278
category_name_Shop By Sport,0.0010513719923916532
product_name_Field & Stream Sportsman 16 Gun Fire Safe,0.0010089523813781908
category_name_Fishing,0.0009835123314780505
customer_state_OH,0.0009542218638574027
order_region_South of  USA,0.0009023208381574344
order_region_Eastern Europe,0.0008712829297640686
customer_state_PA,0.000869994653296109
customer_state_MI,0.000842189999913681
customer_state_NJ,0.0008043360644561056
customer_state_AZ,0.0007793431535965961
order_country_Honduras,0.0007647399964304749
order_country_Turkey,0.000762946689682495
order_country_Dominican Republic,0.0007168183253008633
order_country_Indonesia,0.0007085532160732578
order_region_West Africa,0.0007023876424395164
order_country_Spain,0.0006968482617820022
order_country_Guatemala,0.0006627402265401748
order_country_Cuba,0.0006498940192233105
order_region_North Africa,0.0006486968253749535
customer_state_CO,0.0006286806268289003
order_country_Nicaragua,0.0006187919286910723
order_country_El Salvador,0.0006067721738587166
category_name_Electronics,0.0005555957831131647
customer_state_VA,0.0005483140066747091
customer_state_MD,0.000540267153926583
order_country_Argentina,0.0005384400913031843
customer_state_GA,0.0005077926831873963
order_country_Colombia,0.0004992797582538198
order_country_Netherlands,0.00047482075607763825
customer_state_OR,0.0004741116193789328
customer_state_NC,0.0004740574191884748
order_region_East Africa,0.0004641246376925746
customer_state_MA,0.00044388629442864775
order_country_Iran,0.0004248782159429959
order_region_Central Africa,0.0004177284097617831
customer_state_CT,0.0004059214584686834
order_country_New Zealand,0.00040187042884041216
order_country_Filipinas,0.00039965706685517617
order_country_Austria,0.0003971890592152378
customer_state_TN,0.0003968968498360367
customer_state_NV,0.0003839759788308369
customer_state_MO,0.0003821019122370164
order_country_Panama,0.0003810989831108915
department_name_Fitness,0.00037850560799790507
order_country_Nigeria,0.00035852553958716645
customer_state_SC,0.0003566437242775607
order_country_Venezuela,0.0003531650134541836
order_country_Ukraine,0.00034496440721685335
department_name_Discs Shop,0.0003302289592019459
order_country_Egypt,0.00032584871253256014
customer_state_HI,0.0003132312330870407
order_country_Russia,0.00031182569513122835
category_name_Accessories,0.0002906885342968615
order_country_Poland,0.0002836747391641422
customer_state_LA,0.00028245690800951745
order_region_Southern Africa,0.00028175573592578463
customer_state_WA,0.0002758617726958208
order_country_South Africa,0.0002670384615705
category_name_Golf Balls,0.0002633585993759696
order_country_Saudi Arabia,0.0002530511533964447
customer_state_NM,0.00024463672597183756
order_country_Japan,0.0002392376654194458
order_country_Morocco,0.00023857505259191074
order_country_Belgium,0.00023323166015406147
order_country_Canada,0.00022851492906488514
order_country_Democratic Republic of the Congo,0.00022481618125686314
order_region_Canada,0.00022052624800370722
category_name_Girls' Apparel,0.00021605860769108898
order_country_Thailand,0.00021295791181639073
order_region_Central Asia,0.0002120566601146148
category_name_Golf Gloves,0.0002107443306699182
order_country_Pakistan,0.00020996816690638164
order_country_Ireland,0.00020453487242414422
order_country_Chile,0.0001960622486701368
customer_state_WI,0.00019357327422116742
customer_state_UT,0.0001928694880541498
order_country_Sweden,0.00018940827124754983
customer_state_IN,0.00018857926455178074
order_country_Malasia,0.00018335912609443748
order_country_Argelia,0.00017327163401279177
department_name_Technology,0.00017196849897282003
category_name_Trade-In,0.00016408231636077272
order_country_Vietnam,0.00015790878262068344
category_name_Video Games,0.00015516761446569754
product_name_Fighting video games,0.00015248378292030093
order_country_Iraq,0.00015105005583000366
order_country_Peru,0.0001504806992632999
order_country_South Korea,0.00014986931128503658
product_name_Summer dresses,0.0001485943583184648
category_name_Women's Clothing,0.00014275521330564048
customer_state_KS,0.0001423747840545167
category_name_Kids' Golf Clubs,0.00013765678265103876
customer_state_MN,0.00013677091669698103
order_country_Portugal,0.00013628166640148752
product_name_Children's heaters,0.00013407918623965147
category_name_Children's Clothing,0.00013380691983504224
customer_state_KY,0.00013231543981025677
product_name_Nike Women's Tempo Shorts,0.00013103999593059407
order_country_Romania,0.00012852989769050166
order_country_Bolivia,0.00012582711030662813
order_country_Benin,0.00012475164421691144
order_country_Bangladesh,0.00012379350399460966
category_name_Golf Shoes,0.00012333466504794123
product_name_Glove It Women's Mod Oval Golf Glove,0.00012045414326337472
order_country_Cameroon,0.0001183159068176938
category_name_Boxing & MMA,0.0001132555032180379
category_name_Baseball & Softball,0.00011314059835889637
category_name_Hockey,0.00010759084209873209
order_country_Denmark,0.00010605312781805198
product_name_Titleist Pro V1 High Numbers Personalized Gol,0.00010457778439264585
category_name_Pet Supplies,0.00010392001255784045
product_name_LIJA Women's Eyelet Sleeveless Golf Polo,0.00010322226690434216
product_name_Bridgestone e6 Straight Distance NFL San Dieg,0.0001021945507756832
order_country_Marfil Coast,0.00010113860150426056
order_country_Norway,0.0001011266762180295
product_name_Titleist Pro V1x High Numbers Golf Balls,9.874241417780873e-05
department_name_Pet Shop,9.860388540574536e-05
product_name_Glove It Urban Brick Golf Towel,9.749761187058373e-05
order_country_Haiti,9.666468576470633e-05
category_name_Toys,9.647097012366572e-05
department_name_Health and Beauty,9.60256667135409e-05
order_country_Finland,9.498980763378345e-05
product_name_Clicgear 8.0 Shoe Brush,9.488754063460895e-05
order_country_Angola,9.408851443814213e-05
product_name_Toys,9.405852040999351e-05
order_country_Tanzania,9.401742070815433e-05
