accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive,threshold
0.5771984736097414,0.5772580991203604,0.9993314514930917,0.731797535833764,0.740042948190666,0.8345463668153176,9,9852,9,13453,0.2
0.5771984736097414,0.5772846289221788,0.9990343188233546,0.7317391659185506,0.740042948190666,0.8345463668153176,13,9848,13,13449,0.21000000000000002
0.5774128542640312,0.5774218481621436,0.9988857524884861,0.7318095238095238,0.740042948190666,0.8345463668153176,20,9841,15,13447,0.22000000000000003
0.5773699781331733,0.5774303019889171,0.9985143366513148,0.7317166108706894,0.740042948190666,0.8345463668153176,24,9837,20,13442,0.23000000000000004
0.5776701110491789,0.5776373484653082,0.9981429208141435,0.7317830301710053,0.740042948190666,0.8345463668153176,36,9825,25,13437,0.24000000000000005
0.5778844917034687,0.5778217651361934,0.9974743723072352,0.7317511784420043,0.740042948190666,0.8345463668153176,50,9811,34,13428,0.25000000000000006
0.5781417484886164,0.5781189357022726,0.9958401426236815,0.73154893454476,0.740042948190666,0.8345463668153176,78,9783,56,13406,0.26000000000000006
0.5783132530120482,0.5784351887894122,0.9934630812657852,0.7311592816335456,0.740042948190666,0.8345463668153176,114,9747,88,13374,0.2700000000000001
0.5782275007503322,0.5787393023154785,0.9896003565592036,0.7303527863819522,0.740042948190666,0.8345463668153176,164,9697,140,13322,0.2800000000000001
0.5800282982463663,0.580300442342224,0.984251968503937,0.7301281168204987,0.740042948190666,0.8345463668153176,278,9583,212,13250,0.2900000000000001
0.5844445397247352,0.5840167587805313,0.9733323428911008,0.7300128140843501,0.740042948190666,0.8345463668153176,528,9333,359,13103,0.3000000000000001
0.5914762251854393,0.5907371528738814,0.9512702421631258,0.7288560045532158,0.740042948190666,0.8345463668153176,989,8872,656,12806,0.3100000000000001
0.6017236204604897,0.6024551927326295,0.9113801812509286,0.7253968723209271,0.740042948190666,0.8345463668153176,1765,8096,1193,12269,0.3200000000000001
0.623547571067187,0.62992562992563,0.8431139503788442,0.7210927573062261,0.740042948190666,0.8345463668153176,3193,6668,2112,11350,0.3300000000000001
0.646357672683617,0.6739855846235985,0.7501857079185856,0.710047106798847,0.740042948190666,0.8345463668153176,4976,4885,3363,10099,0.34000000000000014
0.6662093212708485,0.7293737373737373,0.6704798692616253,0.6986879281650347,0.740042948190666,0.8345463668153176,6512,3349,4436,9026,0.35000000000000014
0.678986408266518,0.7728559685816057,0.628584162828703,0.693294006800213,0.740042948190666,0.8345463668153176,7374,2487,5000,8462,0.36000000000000015
0.6842172962311881,0.7958272683163513,0.6091962561283614,0.6901165481550049,0.740042948190666,0.8345463668153176,7757,2104,5261,8201,0.37000000000000016
0.6873901299146765,0.8099447513812155,0.5989451790224335,0.6886450014946407,0.740042948190666,0.8345463668153176,7969,1892,5399,8063,0.38000000000000017
0.6888479183638468,0.8201424001651016,0.5904026147674937,0.6865632963330885,0.740042948190666,0.8345463668153176,8118,1743,5514,7948,0.3900000000000002
0.6906487158598809,0.8295178816330837,0.5840885455355816,0.6854975807506212,0.740042948190666,0.8345463668153176,8245,1616,5599,7863,0.4000000000000002
0.6906915919907387,0.8370010787486516,0.5763630961224186,0.68265000879817,0.740042948190666,0.8345463668153176,8350,1511,5703,7759,0.4100000000000002
0.6906915919907387,0.8454223794781071,0.5679690982023473,0.6794632542433129,0.740042948190666,0.8345463668153176,8463,1398,5816,7646,0.4200000000000002
0.6919349997856193,0.856283346577364,0.5603179319566186,0.6773831439989224,0.740042948190666,0.8345463668153176,8595,1266,5919,7543,0.4300000000000002
0.6918921236547614,0.8660755949603359,0.5514782350319417,0.6738676590723427,0.740042948190666,0.8345463668153176,8713,1148,6038,7424,0.4400000000000002
0.6915491146078978,0.8722974578284628,0.5454612984697668,0.6712065813528336,0.740042948190666,0.8345463668153176,8786,1075,6119,7343,0.45000000000000023
0.6914633623461819,0.8755694078158714,0.5425642549398306,0.6699688130618235,0.740042948190666,0.8345463668153176,8823,1038,6158,7304,0.46000000000000024
0.6914633623461819,0.8774698795180723,0.5410043084237112,0.6693318628802499,0.740042948190666,0.8345463668153176,8844,1017,6179,7283,0.47000000000000025
0.6917206191313295,0.8795691115952554,0.5398157777447631,0.6690296446326643,0.740042948190666,0.8345463668153176,8866,995,6195,7267,0.48000000000000026
0.6915491146078978,0.8802475127396263,0.538924379735552,0.6685403612237376,0.740042948190666,0.8345463668153176,8874,987,6207,7255,0.49000000000000027
0.691334733953608,0.8805444160894398,0.5382558312286436,0.6681111981927988,0.740042948190666,0.8345463668153176,8878,983,6216,7246,0.5000000000000002
0.6911632294301763,0.8807640832218031,0.5377358490566038,0.6677736266777363,0.740042948190666,0.8345463668153176,8881,980,6223,7239,0.5100000000000002
0.6909488487758865,0.880691502313124,0.5373644332194325,0.6674663221996678,0.740042948190666,0.8345463668153176,8881,980,6228,7234,0.5200000000000002
0.6909059726450285,0.8806769755266042,0.5372901500519982,0.6674048442906574,0.740042948190666,0.8345463668153176,8881,980,6229,7233,0.5300000000000002
0.6908630965141705,0.8808479532163743,0.5370673005496954,0.6672819566220581,0.740042948190666,0.8345463668153176,8883,978,6232,7230,0.5400000000000003
0.6907773442524546,0.8809117503656753,0.5368444510473926,0.6671282193298256,0.740042948190666,0.8345463668153176,8884,977,6235,7227,0.5500000000000003
0.6907773442524546,0.8810046330163375,0.5367701678799583,0.6670974889217134,0.740042948190666,0.8345463668153176,8885,976,6236,7226,0.5600000000000003
0.6907773442524546,0.8810046330163375,0.5367701678799583,0.6670974889217134,0.740042948190666,0.8345463668153176,8885,976,6236,7226,0.5700000000000003
0.6908630965141705,0.881219512195122,0.5367701678799583,0.6671590804173206,0.740042948190666,0.8345463668153176,8887,974,6236,7226,0.5800000000000003
0.6908202203833126,0.8812050250030492,0.5366958847125242,0.6670975485896311,0.740042948190666,0.8345463668153176,8887,974,6237,7225,0.5900000000000003
0.6908630965141705,0.8813125152476213,0.5366958847125242,0.6671283471837488,0.740042948190666,0.8345463668153176,8888,973,6237,7225,0.6000000000000003
0.6908202203833126,0.8812980358667806,0.5366216015450899,0.6670668082552288,0.740042948190666,0.8345463668153176,8888,973,6238,7224,0.6100000000000003
0.6908630965141705,0.8814055636896047,0.5366216015450899,0.6670976082740788,0.740042948190666,0.8345463668153176,8889,972,6238,7224,0.6200000000000003
0.6907773442524546,0.8814697265625,0.5363987520427871,0.6669437517317817,0.740042948190666,0.8345463668153176,8890,971,6241,7221,0.6300000000000003
0.6906487158598809,0.8814263035779705,0.5361759025404843,0.6667590411528336,0.740042948190666,0.8345463668153176,8890,971,6244,7218,0.6400000000000003
0.6905629635981649,0.8814905314599878,0.5359530530381815,0.6666050722963921,0.740042948190666,0.8345463668153176,8891,970,6247,7215,0.6500000000000004
0.6903485829438751,0.8815113719735876,0.535507354033576,0.6662661737523106,0.740042948190666,0.8345463668153176,8892,969,6253,7209,0.6600000000000004
0.6901770784204433,0.8817335945151812,0.5349873718615362,0.665926953305594,0.740042948190666,0.8345463668153176,8895,966,6260,7202,0.6700000000000004
0.6892338035415684,0.8816015720953083,0.533204575843114,0.6645065728568783,0.740042948190666,0.8345463668153176,8897,964,6284,7178,0.6800000000000004
0.6884191570552674,0.8817946505608283,0.5314217798246917,0.6631749710312862,0.740042948190666,0.8345463668153176,8902,959,6308,7154,0.6900000000000004
0.6866183595592333,0.882031541040606,0.5276333382855445,0.6602835231234023,0.740042948190666,0.8345463668153176,8911,950,6359,7103,0.7000000000000004
0.6834026497448871,0.8837121212121212,0.5199078888723815,0.6546628004863905,0.740042948190666,0.8345463668153176,8940,921,6463,6999,0.7100000000000004
0.6776143720790636,0.886964448495898,0.5059426533947408,0.6443403812497044,0.740042948190666,0.8345463668153176,8993,868,6651,6811,0.7200000000000004
0.6650516657376838,0.8937831056593254,0.47630366958847126,0.621438263229308,0.740042948190666,0.8345463668153176,9099,762,7050,6412,0.7300000000000004
0.6399691291857823,0.9113204482702615,0.41680285247362947,0.5719965339721699,0.740042948190666,0.8345463668153176,9315,546,7851,5611,0.7400000000000004
0.6122711486515456,0.9418116376724655,0.34987371861536176,0.5102096084060012,0.740042948190666,0.8345463668153176,9570,291,8752,4710,0.7500000000000004
0.5914333490545813,0.9667695229052932,0.3025553409597385,0.4608769448373409,0.740042948190666,0.8345463668153176,9721,140,9389,4073,0.7600000000000005
