model_name,accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive,threshold,training_seconds
random_forest,0.5825151138361274,0.5813780748896754,0.9884118258802556,0.732124680183774,0.7382135227425288,0.8338696672202058,280,9581,156,13306,0.3000000000000001,234.17919719300698
xgboost,0.5788277665823436,0.5784639268618742,0.9964344079631555,0.7319854847071021,0.7390639448578895,0.8342811689796428,86,9775,48,13414,0.2700000000000001,8.775886675983202
hist_gradient_boosting,0.5772413497405994,0.5772232227081725,1.0,0.7319486733362331,0.7394683930132029,0.83441126194855,1,9860,0,13462,0.23000000000000004,12.892502092989162
logistic_regression,0.5774128542640312,0.5774218481621436,0.9988857524884861,0.7318095238095238,0.740042948190666,0.8345463668153176,20,9841,15,13447,0.22000000000000003,5.046516915957909
